"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","513","12053533","Country Club","St Louis","MO","63121","","40500.00","GSTL","72","72","Government","","","","","","2 Story","74","8","3","0","1","1","0","1541","","Full","0","0","0","Forced Air","Gas","Central-Electric, None","2","0","Detached","","","Partial Fencing, Sidewalks, Streetlights","1","Woodburning Fireplce","Living Room"
"Active","7614","12038168","Rosedale","St Louis","MO","63121","","54900.00","GSTL","150","150","Private","","","","","","1.5 Story","86","7","3","2","0","0","0","1284","","Full, Poured Concrete, Rec/Family Area, Walk-Out","0","0","0","Forced Air","Gas","Central-Electric","1","0","Detached","Patio, Smoke Alarm/Detec","","Fencing, Level Lot, Sidewalks, Streetlights","2","Woodburning Fireplce","Family Room, Living Room"
"Sold","7220","11041657","Normandy","Normandy","MO","63121","16500.00","15300.00","GSTL","70","70","Government","Cash","0","2/2/2012 12:00:00 AM","2/7/2012 12:00:00 AM","3/14/2012 12:00:00 AM","2 Story","87","7","3","1","0","1","0","1583","","Full","0","0","0","Radiator(s)","Gas","None","2","0","Detached","","","","1","Woodburning Fireplce","Living Room"
"Sold","3508","11056196","Lucas And Hunt","St Louis","MO","63121","20500.00","24910.00","GSTL","42","42","Government","Cash","0","","1/11/2012 12:00:00 AM","1/30/2012 12:00:00 AM","2 Story","87","6","2","1","0","0","1","1524","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","","","","1","Non Functional","Family Room"
"Sold","7244","11055284","Henderson","Normandy","MO","63121","30000.00","11900.00","GSTL","9","9","Bank","Cash","0","","11/30/2011 12:00:00 AM","12/20/2011 12:00:00 AM","2 Story","117","14","6","1","0","2","0","2462","","Full","0","0","0","Other","Gas","Other","0","0","Other","","","","1","Non Functional","Living Room"
"Sold","7254","12021020","Normandy","St Louis","MO","63121","33000.00","34900.00","GSTL","147","147","Private","Cash","0","","10/3/2012 12:00:00 AM","10/12/2012 12:00:00 AM","1.5 Story","","8","5","1","0","0","0","","","","0","0","0","Forced Air","Gas","Central-Electric","2","0","Detached","Deck, Screened Porch","","Fencing, Level Lot","1","Non Functional","Living Room"
