"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","12675","12020856","OLD JAMESTOWN RD ","St Louis","MO","63033","","95000.00","GSTL","215","215","Private","","","","","","Ranch","53","6","3","2","0","0","0","","","","0","0","0","Forced Air","Gas","Central-Gas","2","0","Additional Parking, Attached Garage","","","","1","Woodburning Fireplce","Family Room"
"Active","189","12052868","Carytown","Florissant","MO","63034","","95900.00","GSTL","61","127","Government","","","","","","Ranch","8","4","2","2","0","0","0","1550","","Full, Partially Finished, Walk-Out","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage","","","Cul-De-Sac","1","Non Functional","Living Room"
"Sold","4870","12027700","Parkton","Florissant","MO","63033","61500.00","62900.00","GSTL","30","30","Bank","Conventional","0","","7/5/2012 12:00:00 AM","8/14/2012 12:00:00 AM","Ranch","43","6","3","2","0","0","0","1435","","Full","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage","","","Backs to Open Grnd, Fencing, Level Lot","1","Non Functional","Living Room"
"Sold","12570","12008540","Old Halls Ferry","Florissant","MO","63033","72400.00","79400.00","GSTL","41","41","Private","VA","0","","3/27/2012 12:00:00 AM","5/4/2012 12:00:00 AM","Ranch","59","6","3","1","0","0","0","1192","","8 ft + pour, Full, Poured Concrete, Walk-Out","0","0","1","Forced Air","Gas","Ceiling Fan, Central-Electric","2","0","Additional Parking, Detached, Garage Door Opener, Oversize, Workshp/Storage Area","Burglar Alarm-Owned, Covered Porch, Home Protection Plcy, Screened Porch, Utility Shed","Custom Cabinetry, Eat-In Kitchen","Level Lot","1","Woodburning Fireplce","Living Room"
"Sold","12731","12001462","Broadridge","Florissant","MO","63033","88000.00","94900.00","GSTL","30","35","Bank","Conventional","2640","1/27/2012 12:00:00 AM","2/7/2012 12:00:00 AM","4/30/2012 12:00:00 AM","Ranch","38","7","3","1","1","0","0","1773","","Full, Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage","","","Level Lot","1","Full Masonry, Woodburning Fireplce","Family Room"
