"Normandy","MO","Brenner","8206","63114","63","0","None","1.00","51","St Louis","Other","51","Cash","2","Other","GSTL","16300.00","","Bank","13000.00","8/31/2011 12:00:00 AM","13000.00","Cash, Conventional","Sold","9/1/2011 12:00:00 AM","2.00","7/6/2011 12:00:00 AM"
"Bel Ridge","MO","Hanley","3019","63121","76","0","Full, Walk-Out","1.00","17","St Louis","Central-Electric","17","Conventional","0","Gas","GSTL","14900.00","","Bank","13000.00","10/7/2011 12:00:00 AM","13000.00","Cash","Sold","10/12/2011 12:00:00 AM","2.00","7/19/2011 12:00:00 AM"
"St Louis","MO","Wolter","2125","63114","75","","Full, Partially Finished, Rec/Family Area","3.00","47","St Louis","Central-Electric","47","Cash","3","Gas","GSTL","14900.00","","Bank","13000.00","3/29/2012 12:00:00 AM","13000.00","Cash","Sold","4/2/2012 2:04:17 PM","4.00","1/30/2012 12:00:00 AM"
"St Louis","MO","Monroe","7720","63133","61","0","Full","3.00","299","St Louis","Central-Electric","169","Cash","2","Gas","GSTL","15400.00","","Government","13302.00","8/23/2011 12:00:00 AM","13302.00","Cash, Conventional","Sold","8/24/2011 12:00:00 AM","0.00","12/22/2010 12:00:00 AM"
"St Louis","MO","Lyndhurst","2813","63114","72","0","Full","1.00","5","St Louis","None","5","Cash","0","Gas","GSTL","13300.00","","Government","13500.00","11/23/2011 12:00:00 AM","13500.00","Cash","Sold","11/23/2011 12:00:00 AM","2.00","9/27/2011 12:00:00 AM"
"St Louis","MO","Albin","8243","63114","93","0","Full","1.00","160","St Louis","Other","9","Cash","0","Other","GSTL","13200.00","","Government","14000.00","7/26/2011 12:00:00 AM","14000.00","Cash, Conventional","Sold","7/28/2011 12:00:00 AM","3.00","7/4/2011 12:00:00 AM"
"Hanley Hills","MO","Utica","7805","63133","61","0","Full","1.00","98","St Louis","Central-Electric","98","Cash","0","Gas","GSTL","14000.00","","Bank","14000.00","4/9/2012 12:00:00 AM","14000.00","Cash, Conventional","Sold","4/9/2012 10:22:43 AM","2.00","10/18/2011 12:00:00 AM"
"St Louis","MO","Old Hanley","2745","63114","62","0","Partially Finished, Walk-Out","1.00","7","St Louis","Other","7","Cash","0","Gas","GSTL","14000.00","","Bank","14000.00","11/10/2011 12:00:00 AM","14000.00","Cash, Conventional","Sold","11/11/2011 12:00:00 AM","4.00","10/19/2011 12:00:00 AM"
"St Louis","MO","Elaine","8809","63121","55","0","Full, Partially Finished","2.00","102","St Louis","None","102","Cash","0","Gas","GSTL","15000.00","","Bank","14500.00","10/25/2011 12:00:00 AM","14500.00","Cash, Conventional","Sold","10/26/2011 12:00:00 AM","3.00","6/17/2011 12:00:00 AM"
"St Louis","MO","Cory","7509","63133","74","","Full, Poured Concrete, Walk-Out","1.00","97","St Louis","Central-Electric","97","Cash","0","Gas","GSTL","22500.00","","Bank","15000.00","5/16/2012 12:00:00 AM","15000.00","Cash, Conventional","Sold","5/16/2012 12:25:44 PM","3.00","1/19/2012 12:00:00 AM"
"St Louis","MO","Stillwater","1952","63114","63","0","Full, Partially Finished","1.00","6","St Louis","Central-Electric","6","Cash","1","Gas","GSTL","15000.00","","Bank","15199.00","9/16/2011 12:00:00 AM","15199.00","Cash, Conventional","Sold","9/16/2011 12:00:00 AM","2.00","8/2/2011 12:00:00 AM"
"St Louis","MO","Winfield","8040","63114","50","0","Poured Concrete","1.00","42","St Louis","Central-Electric","42","Cash","2","Gas","GSTL","18250.00","","Private","15500.00","12/30/2011 12:00:00 AM","15500.00","Cash, Owner May Finance","Sold","12/30/2011 12:00:00 AM","3.00","11/10/2011 12:00:00 AM"
"St Louis","MO","Madison","7818","63133","63","","Full, Partially Finished","1.00","56","St Louis","Central-Electric","11","Cash","1","Gas","GSTL","13860.00","","Bank","15650.00","5/16/2012 12:00:00 AM","15650.00","Cash, Conventional","Sold","5/16/2012 11:38:27 AM","2.00","3/23/2012 12:00:00 AM"
"St Louis","MO","Garfield","8217","63114","76","0","Full, Partially Finished","1.00","58","St Louis","Central-Electric","58","Cash","0","Gas","GSTL","19900.00","","Bank","16000.00","1/13/2012 12:00:00 AM","16000.00","Cash, Conventional","Sold","1/18/2012 12:41:57 PM","2.00","10/12/2011 12:00:00 AM"
"St Louis","MO","Taber","7632","63133","1950","","","1.00","27","St Louis","Central-Electric","27","Cash","0","Gas","GSTL","16500.00","","Bank","16000.00","3/15/2012 12:00:00 AM","16000.00","Cash","Sold","3/16/2012 2:56:04 PM","2.00","1/31/2012 12:00:00 AM"
"St Louis","MO","Florentine","7742","63121","63","","Full, Partially Finished","1.00","33","St Louis","Central-Electric","33","Cash","1","Gas","GSTL","14500.00","","Government","16500.00","5/4/2012 12:00:00 AM","16500.00","Cash, Conventional","Sold","5/23/2012 12:13:46 PM","2.00","3/8/2012 12:00:00 AM"
"St Louis","MO","Falcon","1941","63133","61","0","Full","1.00","40","St Louis","Ceiling Fan, Central-Electric","40","Cash","0","Gas","GSTL","19900.00","","Bank","16900.00","8/17/2011 12:00:00 AM","16900.00","Cash, Conventional","Sold","8/19/2011 12:00:00 AM","2.00","6/9/2011 12:00:00 AM"
"St Louis","MO","Raven","2019","63133","60","0","Full","2.00","21","St Louis","Central-Electric","21","Cash","0","Gas","GSTL","19900.00","","Bank","17000.00","7/27/2011 12:00:00 AM","17000.00","Cash","Sold","7/28/2011 12:00:00 AM","3.00","6/24/2011 12:00:00 AM"
"Vinita Park","MO","Jefferson","8237","63114","23","0","Poured Concrete, Sump Pit/Pump","1.00","17","St Louis","Other","17","Cash","0","Gas","GSTL","19700.00","","Private","17000.00","12/30/2011 12:00:00 AM","17000.00","Cash, Owner May Finance, Private","Sold","12/30/2011 12:00:00 AM","3.00","11/28/2011 12:00:00 AM"
"St Louis","MO","Hanley","1929","63114","64","","Full, Partially Finished, Rec/Family Area","1.00","20","St Louis","Central-Electric","20","Conventional","1","Gas","GSTL","22000.00","","Bank","17000.00","3/1/2012 12:00:00 AM","17000.00","Cash, Conventional","Sold","3/2/2012 12:01:25 PM","2.00","1/22/2012 12:00:00 AM"
"Hanley Hills","MO","Falcon","2004","63133","61","0","Full","1.00","106","St Louis","Central-Electric","106","Cash","1","Gas","GSTL","20000.00","","Private","18000.00","2/28/2012 12:00:00 AM","18000.00","Cash, Conventional","Sold","2/28/2012 11:59:07 AM","2.00","11/10/2011 12:00:00 AM"
"St Louis","MO","Madison","7869","63133","62","0","Full","1.00","15","St Louis","Central-Electric","15","Cash","1","Gas","GSTL","19900.00","","Bank","19500.00","9/23/2011 12:00:00 AM","19500.00","Cash, Conventional","Sold","9/23/2011 12:00:00 AM","3.00","8/30/2011 12:00:00 AM"
"Greendale","MO","Marillac","7509","63121","68","0","Full, Partially Finished","1.00","35","St Louis","Central-Electric","35","Cash","1","Gas","GSTL","18000.00","","Government","19500.00","2/8/2012 12:00:00 AM","19500.00","Cash, Conventional, FHA","Sold","2/9/2012 7:39:26 AM","2.00","12/3/2011 12:00:00 AM"
"Hanley Hills","MO","Falcon","1949","63133","59","0","Full, Partially Finished, Poured Concrete, Sleeping Area, Sump Pit/Pump","1.00","713","St Louis","Central-Electric","713","Cash","0","Gas","GSTL","39900.00","","Private","20000.00","8/11/2011 12:00:00 AM","20000.00","Cash, Conventional, FHA, Government, VA","Sold","8/31/2011 12:00:00 AM","3.00","2/12/2009 12:00:00 AM"
