"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","801","12021283","Vista Pointe","St Louis","MO","63138","","129900.00","GSTL","109","109","Private","","","","","","2 Story","24","8","4","0","1","2","0","2093","","Full, Poured Concrete, Sump Pit/Pump","0","0","0","Forced Air","Gas","Ceiling Fan, Central-Electric","2","0","Attached Garage, Garage Door Opener","Burglar Alarm-Leased, Covered Porch, Patio, Smoke Alarm/Detec","Breakfast Room, Eat-In Kitchen, Pantry","Backs to Comm. Grnd, Corner Lot, Level Lot, Sidewalks, Streetlights","1","Woodburning Fireplce","Great Room"
"Active","6822","12036104","Chilham","Florissant","MO","63033","","109900.00","GSTL","40","175","Private","","","","","","2 Story","30","8","4","0","1","2","0","1896","","Bathroom in LL, Full, Poured Concrete, Rec/Family Area, Walk-Out","0","1","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage","Deck","Breakfast Bar, Eat-In Kitchen, Pantry","","1","Woodburning Fireplce","Family Room"
"Active","12141","12038052","Mignon","Florissant","MO","63033","","124900.00","GSTL","32","32","Bank","","","","","","Tri-Level","28","8","3","2","0","0","0","2366","","Partially Finished","0","1","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage","","","","","",""
"Sold","1316","11038423","Patrician","St Louis","MO","63138","95195.00","99900.00","GSTL","135","227","Private","Conventional","0","8/29/2011 12:00:00 AM","12/15/2011 12:00:00 AM","12/15/2011 12:00:00 AM","2 Story","23","8","4","0","1","2","0","2114","","Full, Partially Finished, Poured Concrete, Sump Pit/Pump","0","0","0","Forced Air","Gas","Ceiling Fan, Central-Electric","2","0","Attached Garage, Garage Door Opener","Covered Porch, Deck, Smoke Alarm/Detec, Utility Shed","Breakfast Room","Cul-De-Sac, Fencing, Level Lot, Sidewalks, Streetlights","1","Woodburning Fireplce","Great Room"
"Sold","12565","11057136","Evening Shade","Florissant","MO","63033","96500.00","94900.00","GSTL","62","62","Government","FHA","3000","","2/29/2012 12:00:00 AM","4/4/2012 12:00:00 AM","2 Story","12","6","3","0","1","2","0","1866","","Full","0","0","0","Other","Other","Other","2","0","Attached Garage, Off Street","","Eat-In Kitchen","Level Lot","1","Non Functional","Family Room"
"Sold","6182","11056818","Bay Tree","Florissant","MO","63033","77000.00","79900.00","GSTL","103","208","Bank","Conventional","2310","3/4/2012 12:00:00 AM","3/19/2012 12:00:00 AM","3/26/2012 12:00:00 AM","2 Story","23","9","4","0","1","2","0","1896","","Full, Poured Concrete","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage, Garage Door Opener","Deck, Near Public Trans","Breakfast Room, Center Island, Eat-In Kitchen","Fencing, Level Lot, Sidewalks","1","Woodburning Fireplce","Family Room"
