"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","751","11033897","Ruprecht","St Louis","MO","63125","0.00","54900.00","GSTL","454","454","Private","","0","","","","1.5 Story","85","6","2","1","0","0","0","1077","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","","","","0","None","None"
"Active","3708","12055184","PAULE","St Louis","MO","63125","","62000.00","GSTL","9","9","Bank","","","","","","Bungalow / Cottage","67","4","2","1","0","0","0","768","","Unfinished","0","0","0","Forced Air","Gas","None","2","0","Additional Parking","Covered Porch","Eat-In Kitchen","","","",""
"Active","3708","12054380","Orient","St Louis","MO","63125","","74900.00","GSTL","13","13","Private","","","","","","Bungalow / Cottage","72","4","2","1","0","0","0","754","","Concrete Block, Full, Walk-Out","0","0","0","Forced Air","Gas","Attic Fan, Central-Electric","0","0","Off Street","Patio, Smoke Alarm/Detec","Custom Cabinetry, Eat-In Kitchen, SolidSurfaceCounter","Fencing, Level Lot","0","None","None"
"Sold","775","12034172","Zeiss","St Louis","MO","63125","62000.00","69900.00","GSTL","32","32","Private","FHA","3000","","7/11/2012 12:00:00 AM","8/28/2012 12:00:00 AM","Bungalow / Cottage","84","4","2","1","0","0","0","","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Additional Parking, Other","Home Protection Plcy","Eat-In Kitchen","Fencing, Level Lot","0","None","None"
"Sold","4007","11035630","Birchwood","St Louis","MO","63125","63000.00","69900.00","GSTL","115","115","Private","Cash","0","11/3/2011 12:00:00 AM","11/22/2011 12:00:00 AM","12/1/2011 12:00:00 AM","Ranch","73","6","2","1","0","0","0","968","","Full","0","0","0","Forced Air","Gas","Ceiling Fan","2","0","Additional Parking, Detached, Off Street, Workshp/Storage Area","","Custom Cabinetry, Eat-In Kitchen, Updated Kitchen","Level Lot, Partial Fencing","0","None","None"
"Sold","3721","11039604","Orient","St Louis","MO","63125","67500.00","71900.00","GSTL","44","44","Private","FHA","2500","","9/23/2011 12:00:00 AM","11/8/2011 12:00:00 AM","Bungalow / Cottage","83","6","2","1","0","0","0","1000","","Full, Poured Concrete, Walk-Out","0","0","0","Forced Air","Gas","Attic Fan, Ceiling Fan, Central-Electric","0","0","Off Street","Covered Porch, Near Public Trans, Utility Shed","Eat-In Kitchen","Corner Lot, Fencing, Level Lot","0","None","None"
"Sold","774","11034418","Pardella","St Louis","MO","63125","40000.00","45000.00","GSTL","107","107","Bank","Cash","0","","12/30/2011 12:00:00 AM","1/20/2012 12:00:00 AM","Bungalow / Cottage","91","4","2","1","0","0","0","768","","Full, Walk-Out","0","0","0","Forced Air","Gas","Central-Electric","1","0","Additional Parking, Detached, Off Street","","","Fencing, Level Lot","0","None","None"
