"Basement Sq Ft","Yr Built" (TAX|MLS),"Lot Sq Ft","Bldg Sq Ft" (TAX|MLS),
,"1961","10876.932","1,160",
,"1958","11251.548","1,092",
,"1961","7875.648","1,064",
,"1987","9147.6","1,066",
,"Tax: 1964 MLS: 2012","7522.812","974",
