"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","422","12052509","Northridge","St Louis","MO","63137","","33500.00","GSTL","60","60","Private","","","","","","Ranch","57","6","3","1","0","0","0","927","","Full, Poured Concrete, Unfinished","0","0","0","Forced Air","Gas","Central-Electric","0","0","Additional Parking, Off Street","Burglar Alarm-Leased, Deck, Near Public Trans, Smoke Alarm/Detec","","Backs to Trees/Woods, Chain Link Fence","","",""
"Sold","454","12011664","Scenic","St Louis","MO","63137","15150.00","15000.00","GSTL","6","6","Government","Cash","0","","3/7/2012 12:00:00 AM","4/27/2012 12:00:00 AM","Ranch","51","5","3","1","0","0","0","","","","0","0","0","Forced Air","Gas","Central-Electric","2","0","Detached","","","","0","",""
"Sold","729","12039527","Kelvin","St Louis","MO","63137","15500.00","15000.00","GSTL","24","24","Government","Cash","0","7/17/2012 12:00:00 AM","7/18/2012 12:00:00 AM","9/17/2012 12:00:00 AM","Ranch","56","5","3","1","0","0","0","911","","Full, Unfinished","0","0","0","Forced Air","Gas","Attic Fan, Ceiling Fan, Central-Electric","0","0","Off Street","Covered Porch, Screened Porch, Smoke Alarm/Detec","Eat-In Kitchen","Fencing, Level Lot","0","None","None"
"Sold","9729","12027809","Lilac","St Louis","MO","63137","17500.00","19900.00","GSTL","90","105","Private","Cash","0","","8/6/2012 12:00:00 AM","8/14/2012 12:00:00 AM","Ranch","60","6","3","1","0","0","0","1152","","Full","0","0","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage, Detached","","Eat-In Kitchen","Level Lot","0","None","None"
