"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","8523","12033163","Philo","St Louis","MO","63123","","125000.00","GSTL","163","163","Private","","","","","","Bungalow / Cottage","74","7","3","1","0","0","0","1238","","Full, Partially Finished, Walk-Out","0","1","0","Forced Air","Gas","Ceiling Fan, Central-Electric","2","0","Detached, Garage Door Opener, Oversize, Workshp/Storage Area","High Spd Connection, Home Protection Plcy, Near Public Trans","","Fencing, Level Lot, Sidewalks","1","Non Functional","Living Room"
"Active","9040","12050967","Rosemary","St Louis","MO","63123","","129900.00","GSTL","76","257","Private","","","","","","Bungalow / Cottage","73","8","3","1","0","0","0","1320","","Bathroom in LL, 8 ft + pour, Full, Rec/Family Area","0","1","0","Forced Air","Gas","1 Window/Wall, Attic Fan, Ceiling Fan, Central-Gas","1","0","Detached, Workshp/Storage Area","Patio, Near Public Trans, Smoke Alarm/Detec","Eat-In Kitchen","Level Lot, Partial Fencing","1","Gas","Living Room"
"Sold","4649","12013262","Seibert","St Louis","MO","63123","70025.00","64900.00","GSTL","13","13","Bank","Conventional","0","","3/19/2012 12:00:00 AM","4/26/2012 12:00:00 AM","1.5 Story","88","6","2","2","0","0","0","1153","","Full","1","0","0","Other","Other","Other","2","0","Detached","","","","0","None","None"
"Sold","4860","12028864","Heidelberg","St Louis","MO","63123","86000.00","89900.00","GSTL","49","49","Private","Conventional","0","","7/3/2012 12:00:00 AM","7/27/2012 12:00:00 AM","1.5 Story","91","6","3","1","0","0","0","1637","","Full","0","0","0","Forced Air","Gas","Central-Electric","1","0","Additional Parking, Covered, Detached, Off Street, Oversize, Workshp/Storage Area","Burglar Alarm-Leased, Patio, Utility Shed","Eat-In Kitchen","Level Lot, Streetlights","1","Woodburning Fireplce","Family Room"
"Sold","4916","12017390","Heege","St Louis","MO","63123","99900.00","104900.00","GSTL","71","71","Private","FHA","4300","5/1/2012 12:00:00 AM","4/29/2012 12:00:00 AM","6/4/2012 12:00:00 AM","1.5 Story","76","8","4","1","0","1","0","1743","","Full","0","0","0","Forced Air","Gas","Central-Electric","1","0","Additional Parking, Attached Garage","Covered Porch, Near Public Trans","Custom Cabinetry, Eat-In Kitchen, Pantry","Fencing, Level Lot, Sidewalks, Streetlights","0","None","None"
"Sold","9029","11045032","Kathleen","St Louis","MO","63123","127900.00","129900.00","GSTL","399","399","Private","Conventional","3000","8/29/2012 12:00:00 AM","10/9/2012 12:00:00 AM","10/10/2012 12:00:00 AM","2 Story","72","7","3","1","0","0","0","1540","","Full, Poured Concrete, Walk-Out","0","0","0","Forced Air","Gas","Attic Fan, Ceiling Fan, Central-Electric","2","0","Detached, Garage Door Opener, Rear/Side Entry","Patio, Smoke Alarm/Detec","Eat-In Kitchen","Fencing, Level Lot, Streetlights","1","Non Functional","Family Room"
