"Basement Sq Ft","Yr Built" (TAX|MLS),"Lot Sq Ft","Bldg Sq Ft" (TAX|MLS),
,"1967","7840.8","Tax: 1,053 MLS: 1,055",
"420","1964","10580.724","1,796",
,"1963","8838.324","1,161",
,"Tax: 1962 MLS: 1965","7736.256","962",
