"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","882","12035996","Gustav","St Louis","MO","63147","","24500.00","GSTL","150","150","Private","","","","","","Bungalow / Cottage","103","5","2","1","0","0","0","768","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","1","Additional Parking","High Spd Connection, Patio, Smoke Alarm/Detec","Eat-In Kitchen","Fencing, Level Lot, Streetlights","0","None","None"
"Active","886","12036006","Gustav","St Louis","MO","63147","","24500.00","GSTL","150","150","Private","","","","","","Bungalow / Cottage","63","5","2","1","0","0","0","768","","Full","0","0","0","Forced Air","Gas","Central-Electric","1","0","Other","High Spd Connection, Smoke Alarm/Detec","Eat-In Kitchen","Fencing, Level Lot, Streetlights","0","None",""
"Sold","890","12028024","Gustav","St Louis","MO","63147","5800.00","6500.00","GSTL","84","84","Government","Cash","0","","8/10/2012 12:00:00 AM","9/17/2012 12:00:00 AM","Ranch","59","5","2","1","0","0","0","826","","Full","0","0","0","Other","Other","Other","2","0","Attached Garage","","Eat-In Kitchen","Corner Lot","0","None","None"
"Sold","8504","12042472","Concord","St Louis","MO","63147","9700.00","9700.00","GSTL","62","62","Private","Cash","291","","9/19/2012 12:00:00 AM","10/18/2012 12:00:00 AM","Bungalow / Cottage","95","5","2","1","0","0","0","970","","Full, Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","0","0","Additional Parking, Off Street, Other","Covered Porch, Near Public Trans","Eat-In Kitchen","Chain Link Fence, Fencing, Sidewalks, Streetlights","","None","None"
"Sold","1020","11055484","Wall","St Louis","MO","63147","9900.00","9900.00","GSTL","9","9","Bank","Cash","0","","12/2/2011 12:00:00 AM","12/15/2011 12:00:00 AM","Ranch","83","6","2","1","0","0","0","1000","","Full, Walk-Out","0","0","0","Forced Air","Gas","Central-Electric","1","0","Detached","Covered Porch","Eat-In Kitchen","Fencing, Level Lot","0","None","None"
"Sold","823","12030153","Portland Terrace ","St Louis","MO","63147","11000.00","11000.00","GSTL","14","14","Government","Cash","0","","6/4/2012 12:00:00 AM","7/2/2012 12:00:00 AM","Bungalow / Cottage","64","5","2","1","0","0","0","936","","Full, Partially Finished, Rec/Family Area, Sleeping Area, Sump Pit/Pump","0","1","0","Forced Air","Gas","Ceiling Fan, Central-Electric","0","1","Additional Parking, Covered, Off Street, Rear/Side Entry","Near Public Trans","Eat-In Kitchen, Pantry","Corner Lot, Cul-De-Sac, Level Lot, Partial Fencing, Streetlights","0","None","None"
"Sold","819","12003717","Wall","St Louis","MO","63147","12500.00","12500.00","GSTL","18","18","Government","Cash","0","","2/8/2012 12:00:00 AM","2/24/2012 12:00:00 AM","Ranch","73","5","2","1","0","0","0","1008","","Full, Partially Finished","0","0","0","Forced Air","Gas","None","1","0","Detached","","","","0","Non Functional","None"
