"Basement Sq Ft","Yr Built" (TAX|MLS),"Lot Sq Ft","Bldg Sq Ft" (TAX|MLS),
,"1935","7840.8","1,378",
,"Tax: 1957 MLS: 1964","7749.324","864",
,"1958","6599.34","942",
,"1958","6120.18","932",
,"1957","6603.696","942",
,"1958","6403.32","932",
