"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","3067","12042614","MARCUS","St Louis","MO","63115","","15000.00","GSTL","115","115","Private","","","","","","2 Story","121","7","5","1","0","1","0","2134","","Full, Walk-Out","0","0","0","Other","Other","Other","0","0","Other","","","Level Lot, Sidewalks, Streetlights","1","Full Masonry","Grand Entry Hall"
"Active","4555","12056964","Ashland","St Louis","MO","63115","","16000.00","GSTL","57","57","Private","","","","","","2 Story","","6","2","0","0","1","0","","","Unfinished","2","1","0","Forced Air","Gas","Central-Electric","0","0","Additional Parking","","","","","",""
"Sold","2402","11053739","Euclid","St Louis","MO","63113","5990.00","6500.00","GSTL","75","75","Bank","Cash","0","1/3/2012 12:00:00 AM","1/23/2012 12:00:00 AM","1/31/2012 12:00:00 AM","2 Story","92","5","3","0","0","1","0","1501","","Partial","0","0","0","Forced Air","Gas","Central-Electric","1","0","Detached","","","","0","None","None"
"Sold","4708","12050326","Highland","St Louis","MO","63113","6000.00","6000.00","GSTL","18","18","Bank","Cash","0","","9/14/2012 12:00:00 AM","11/19/2012 12:00:00 AM","2 Story","79","6","3","1","0","1","0","1634","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","","","","","",""
"Sold","1726","12010331","Cora","St Louis","MO","63113","6500.00","6900.00","GSTL","56","56","Bank","Cash","0","","4/20/2012 12:00:00 AM","5/2/2012 12:00:00 AM","2 Story","124","8","3","0","1","1","0","2026","","Full","0","0","0","Forced Air","Gas","Central-Electric","2","0","Detached","","","Fencing","1","Non Functional","Living Room"
"Sold","4966","11054909","Labadie","St Louis","MO","63115","7601.00","6000.00","GSTL","1","1","Government","Cash","0","","11/18/2011 12:00:00 AM","1/31/2012 12:00:00 AM","2 Story","102","8","3","0","1","1","0","1650","","Full","0","0","0","Forced Air","Gas","None","0","0","Other","","","","0","Gas","Living Room"
"Sold","3326","11056233","York","St Louis","MO","63115","12200.00","10900.00","GSTL","21","21","Bank","Cash","0","","1/24/2012 12:00:00 AM","2/17/2012 12:00:00 AM","1.5 Story","71","6","3","1","0","0","0","1557","","Full, Rec/Family Area","0","0","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage","Deck, Patio","Eat-In Kitchen","Fencing, Sidewalks","1","Non Functional","Living Room"
