"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","10322","12037411","Ross","St Louis","MO","63137","","25000.00","GSTL","45","45","Bank","","","","","","Bungalow / Cottage","61","5","3","1","0","0","0","844","","Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","0","0","Additional Parking, Off Street","Burglar Alarm-Owned, Deck, Smoke Alarm/Detec","","Backs to Comm. Grnd, Backs to Trees/Woods, Fencing, Level Lot, Sidewalks, Streetlights, Wooded","0","","None"
"Active","417","12058537","Crawford","St Louis","MO","63137","","29900.00","GSTL","27","27","Private","","","","","","Ranch","60","5","3","1","0","0","0","854","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","Deck","Eat-In Kitchen","Fencing, Level Lot","0","None","None"
"Sold","10346","12045401","Ross","St Louis","MO","63137","17000.00","16000.00","GSTL","41","41","Government","Cash","0","","9/18/2012 12:00:00 AM","10/31/2012 12:00:00 AM","Ranch","61","5","3","1","0","0","0","844","","Full, Unfinished","0","0","0","Forced Air","Gas","Central-Electric","0","1","Covered","Patio","Pantry","Backs to Open Grnd, Backs to Trees/Woods, Fencing","0","None","None"
"Sold","10049","12052452","Lilac","St Louis","MO","63137","18000.00","21000.00","GSTL","13","13","Owner by Contract","Cash","0","","9/22/2012 12:00:00 AM","10/5/2012 12:00:00 AM","Ranch","55","6","3","1","0","0","0","","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","1","Covered","","","","","",""
"Sold","10262","12029662","Hobkirk","St Louis","MO","63137","18500.00","18000.00","GSTL","28","28","Government","Cash","0","","6/20/2012 12:00:00 AM","8/27/2012 12:00:00 AM","Ranch","54","5","3","1","0","0","0","942","","Full, Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage, Off Street","","","","0","",""
"Sold","227","12050311","Presley","St Louis","MO","63137","18500.00","19500.00","GSTL","29","29","Government","Cash","0","","9/26/2012 12:00:00 AM","10/8/2012 12:00:00 AM","Ranch","58","6","3","1","0","0","0","","","Full, Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","0","0","Other","","","","","",""
