"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","9373","12057565","Parkside","Brentwood","MO","63144","","299000.00","GSTL","34","34","Private","","","","","","Bungalow / Cottage","70","6","2","1","0","0","0","","","Bathroom in LL, Full, Poured Concrete","0","0","1","Forced Air, Humidifier","Gas","Central-Electric","1","0","Additional Parking, Attached Garage, Garage Door Opener","High Spd Connection, In-Ground Sprklr Sys, Patio, Smoke Alarm/Detec","","Cul-De-Sac, Fencing, Level Lot","1","Woodburning Fireplce","Living Room"
"Active","2424","12053861","Remington","Rock Hill","MO","63144","","157900.00","GSTL","52","52","Private","","","","","","Bungalow / Cottage","72","6","2","1","0","0","0","1184","","8 ft + pour, Full, Unfinished","0","0","0","Forced Air","Gas","Attic Fan, Central-Electric","1","0","Attached Garage, Basement/Tuck-Under, Garage Door Opener, Off Street, Workshp/Storage Area","Deck, Smoke Alarm/Detec","Custom Cabinetry","Chain Link Fence, Fencing, Level Lot","0","None","None"
"Active","2618","12029801","Mcknight Crossing","Rock Hill","MO","63124","","205000.00","GSTL","169","169","Private","","","","","","2 Story","5","5","2","0","1","2","0","1361","","None","0","0","0","Forced Air","Electric","Ceiling Fan, Central-Electric","0","0","Additional Parking, Off Street","Smoke Alarm/Detec","Breakfast Bar, Custom Cabinetry, Pantry, SolidSurfaceCounter","Sidewalks, Streetlights","0","None","None"
"Sold","9003","12019691","Lawn","Brentwood","MO","63144","164000.00","159900.00","GSTL","3","3","Private","Conventional","1000","","4/7/2012 12:00:00 AM","5/4/2012 12:00:00 AM","Bungalow / Cottage","77","6","2","1","0","0","0","972","","Full, Poured Concrete","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","Covered Porch","","Level Lot","0","None","None"
"Sold","8901","11049279","Moritz","Brentwood","MO","63144","168500.00","179900.00","GSTL","40","40","Private","Conventional","0","11/6/2011 12:00:00 AM","11/16/2011 12:00:00 AM","12/1/2011 12:00:00 AM","Ranch","70","5","2","1","0","0","0","1015","","Concrete Block, Full, Roughed-In Bath","0","0","0","Forced Air","Gas","Ceiling Fan, Central-Electric","1","0","Detached, Garage Door Opener, Off Street","","Custom Cabinetry","Backs to Trees/Woods, Fencing, Level Lot, Wooded","1","Woodburning Fireplce","Living Room"
"Sold","9000","12020615","Bridgeport","St Louis","MO","63144","190000.00","199900.00","GSTL","16","16","Private","Conventional","0","5/10/2012 12:00:00 AM","5/11/2012 12:00:00 AM","6/6/2012 12:00:00 AM","Bungalow / Cottage","71","5","2","1","0","0","0","1158","","Unfinished","0","0","0","Forced Air","Gas","Central-Electric","1","0","Basement/Tuck-Under","Deck","","Fencing, Sidewalks","1","Woodburning Fireplce","Living Room"
"Sold","2524","12018095","Rockford","Rock Hill","MO","63144","160000.00","164900.00","GSTL","23","23","Private","Conventional","3000","4/10/2012 12:00:00 AM","4/11/2012 12:00:00 AM","5/10/2012 12:00:00 AM","Ranch","65","6","2","1","0","0","0","1015","","Full, Partially Finished, Poured Concrete","0","0","0","Forced Air","Gas","Ceiling Fan, Central-Electric","1","0","Covered, Detached, Off Street","Burglar Alarm-Owned, Home Protection Plcy, Patio","Custom Cabinetry","Fencing, Level Lot, Partial Fencing","0","None","None"
