"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","840","12055878","Riderwood","Hazelwood","MO","63042","","87900.00","GSTL","28","28","Private","","","","","","Ranch","53","5","3","1","0","0","0","960","","Bathroom in LL, Full, Partially Finished, Rec/Family Area","0","1","0","Forced Air","Gas","Central-Electric","0","1","Covered","Smoke Alarm/Detec, Utility Shed","Eat-In Kitchen","Chain Link Fence","","",""
"Active","6718","12044116","Olivewood DR","Hazelwood","MO","63042","","89900.00","GSTL","80","80","Private","","","","","","Ranch","47","7","3","1","1","0","0","962","","8 ft + pour, Full, Rec/Family Area","0","0","0","Forced Air","Gas","Central-Electric","0","1","Covered, Rear/Side Entry","Home Protection Plcy, Near Public Trans, Smoke Alarm/Detec","Custom Cabinetry","Fencing, Level Lot, Sidewalks, Streetlights","0","None","None"
"Sold","1845","12033561","Gerard Park","Hazelwood","MO","63042","55000.00","45000.00","GSTL","8","8","Bank","Cash","0","","6/14/2012 12:00:00 AM","8/24/2012 12:00:00 AM","Ranch","49","6","3","1","1","0","0","1161","","Full, Rec/Family Area","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage","Patio","","Chain Link Fence, Level Lot","0","None","None"
"Sold","774","12037955","Lamplight","Hazelwood","MO","63042","60000.00","69900.00","GSTL","50","50","Bank","Cash","0","","9/26/2012 12:00:00 AM","9/27/2012 12:00:00 AM","Split Foyer","48","6","3","0","0","2","0","","","Bathroom in LL, Full, Partially Finished, Rec/Family Area","0","0","1","Forced Air","Gas","Central-Electric","1","0","Attached Garage, Covered","","","Fencing, Level Lot","1","Woodburning Fireplce","Family Room"
"Sold","518","12035855","Foxtrail","Hazelwood","MO","63042","68000.00","69900.00","GSTL","25","25","Government","FHA","3000","","8/13/2012 12:00:00 AM","10/8/2012 12:00:00 AM","Ranch","45","6","3","1","1","0","0","1055","","Full, Partially Finished","0","0","0","Other","Other","Other","2","0","Attached Garage","","","Fencing, Level Lot","1","Non Functional","Dining Room"
