"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","304","12037831","Fannie","St Louis","MO","63125","","45000.00","GSTL","60","60","Private","","","","","","Bungalow / Cottage","82","4","2","1","0","0","0","936","","Full","0","0","0","Forced Air","Gas","1 Window/Wall","1","0","Detached","","Eat-In Kitchen","Level Lot","","",""
"Active","735","12043950","Erskine","St Louis","MO","63125","","49900.00","GSTL","30","30","Private","","","","","","Bungalow / Cottage","111","4","2","1","0","0","0","","","Full, Stone/Rock","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","Deck","Eat-In Kitchen","Fencing, Level Lot","0","None","None"
"Sold","701","12020151","HORN","St Louis","MO","63125","23500.00","24900.00","GSTL","11","11","Bank","Cash","0","","4/17/2012 12:00:00 AM","5/8/2012 12:00:00 AM","Bungalow / Cottage","112","4","2","1","0","0","0","906","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","","","Fencing","0","None","None"
"Sold","742","12017429","Bayless","St Louis","MO","63125","27500.00","27500.00","GSTL","11","11","Bank","Cash","550","","4/6/2012 12:00:00 AM","5/11/2012 12:00:00 AM","Bungalow / Cottage","89","5","2","1","0","0","0","878","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","","","Fencing","0","None",""
"Sold","607","12025339","Waller","St Louis","MO","63125","30000.00","15800.00","GSTL","13","13","Bank","Cash","0","","6/12/2012 12:00:00 AM","7/12/2012 12:00:00 AM","Bungalow / Cottage","84","7","2","1","0","0","0","1024","","Bathroom in LL, Full, Partially Finished, Walk-Out","0","1","0","Forced Air","Gas","Central-Electric","1","0","Detached","Covered Porch, Patio, Smoke Alarm/Detec","","Fencing, Level Lot, Streetlights","0","None","None"
"Sold","304","12012030","Vida","St Louis","MO","63125","30500.00","35776.00","GSTL","39","39","Bank","Cash","0","","4/10/2012 12:00:00 AM","5/1/2012 12:00:00 AM","Bungalow / Cottage","77","5","2","1","0","0","0","1000","","","0","0","0","Forced Air","Gas","Central-Electric","1","0","Detached","","","","0","",""
