"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"St Louis","MO","Sutherland","7045","63109","77","","Full, Walk-Out","1.00","12","St Louis City","Central-Electric","12","Cash","1","Gas","GSTL","44550.00","","Owner by Contract","52000.00","2/24/2012 12:00:00 AM","52000.00","Cash, Conventional","Sold","2/27/2012 10:41:44 AM","2.00","1/12/2012 12:00:00 AM"
"St Louis","MO","Bancroft","6970","63109","83","","Full, Walk-Out","1.00","21","St Louis City","Central-Electric","21","Other","0","Gas","GSTL","76125.00","","Private","52000.00","3/26/2012 12:00:00 AM","52000.00","Cash, Conventional, FHA","Sold","3/28/2012 4:58:02 PM","2.00","2/6/2012 12:00:00 AM"
"St Louis","MO","Lansdowne","6960","63109","61","","Full, Partially Finished","1.00","14","St Louis City","Central-Electric","14","Cash","1","Gas","GSTL","49900.00","","Owner by Contract","53000.00","2/27/2012 12:00:00 AM","53000.00","Cash, Conventional","Sold","2/29/2012 2:43:46 PM","2.00","1/27/2012 12:00:00 AM"
"St Louis","MO","Mardel","7068","63109","85","0","Full","1.00","58","St Louis City","Central-Electric","58","Conventional","0","Gas","GSTL","69900.00","","Private","53600.00","6/8/2012 12:00:00 AM","53600.00","Cash, Conventional, FHA, VA","Sold","6/15/2012 12:30:00 PM","3.00","2/28/2012 12:00:00 AM"
"St Louis","MO","Fyler","6054","63139","63","0","Full","1.00","40","St Louis City","Central-Electric","40","Cash","1","Gas","GSTL","59900.00","","Bank","57000.00","9/27/2011 12:00:00 AM","57000.00","Cash, Conventional","Sold","9/28/2011 12:00:00 AM","2.00","8/5/2011 12:00:00 AM"
"St Louis","MO","Winona","7093","63109","60","0","8 ft + pour, Full, Walk-Out","1.00","33","St Louis City","Central-Electric","33","Conventional","2","Gas","GSTL","70000.00","","Private","59000.00","3/20/2012 12:00:00 AM","59000.00","Cash, Conventional, FHA","Sold","3/22/2012 7:10:10 PM","2.00","11/29/2011 12:00:00 AM"
"St Louis","MO","Arthur","6300","63139","107","0","Full, Walk-Out","1.00","120","St Louis City","Central-Electric","120","FHA","0","Gas","GSTL","59000.00","","Private","59900.00","3/29/2012 12:00:00 AM","59900.00","Cash, Conventional","Sold","4/2/2012 1:48:45 PM","2.00","10/25/2011 12:00:00 AM"
"St Louis","MO","Fyler","6412","63139","89","","Full","1.00","24","St Louis City","Other","24","Cash","1","Other","GSTL","65000.00","","Government","60000.00","5/18/2012 12:00:00 AM","60000.00","Cash, Conventional","Sold","5/24/2012 7:02:21 AM","2.00","4/16/2012 12:00:00 AM"
"St Louis","MO","Smiley","6552","63139","1915","","Unfinished, Walk-Out","1.00","12","St Louis City","Central-Electric","12","Cash","0","Gas","GSTL","67900.00","","Bank","66500.00","4/10/2012 12:00:00 AM","66500.00","Cash, Conventional","Sold","4/11/2012 3:05:09 PM","2.00","2/28/2012 12:00:00 AM"
"St Louis","MO","Winona","7081","63109","61","","Full, Partially Finished","2.00","91","St Louis City","Central-Electric","91","Cash","0","Gas","GSTL","79900.00","","Government","67500.00","5/30/2012 12:00:00 AM","67500.00","Cash, Conventional","Sold","6/28/2012 1:15:48 PM","3.00","1/13/2012 12:00:00 AM"
"St Louis","MO","Bancroft","7074","63109","70","0","Full, Poured Concrete, Sleeping Area, Walk-Out","1.00","103","St Louis City","2 Window/Wall, Ceiling Fan, Central-Electric","103","FHA","0","Gas","GSTL","72000.00","","Government","71000.00","3/8/2012 12:00:00 AM","71000.00","Cash, Conventional, FHA","Sold","3/9/2012 2:34:12 PM","3.00","10/5/2011 12:00:00 AM"
"St Louis","MO","Bendick","3330","63139","62","0","None, Slab","2.00","258","St Louis City","Central-Electric","258","Conventional","1","Gas","GSTL","79900.00","","Private","74000.00","1/19/2012 12:00:00 AM","74000.00","Cash, Conventional, FHA, RRM/ARM","Sold","1/20/2012 4:54:49 PM","3.00","1/10/2011 12:00:00 AM"
"St Louis","MO","Scanlan","6066","63139","72","","Full, Rec/Family Area, Sleeping Area, Walk-Out","2.00","21","St Louis City","Ceiling Fan, Central-Electric","21","Conventional","0","Gas","GSTL","79900.00","","Private","75000.00","6/8/2012 12:00:00 AM","75000.00","Cash, Conventional, FHA","Sold","6/13/2012 10:33:51 AM","2.00","4/10/2012 12:00:00 AM"
"St Louis","MO","Lansdowne","6923","63109","83","0","Concrete Block, Partially Finished, Rec/Family Area, Roughed-In Bath, Walk-Out","1.00","129","St Louis City","Central-Electric","129","FHA","0","Gas","GSTL","84900.00","","Private","76000.00","8/26/2011 12:00:00 AM","76000.00","Cash, Conventional, Other, RRM/ARM","Sold","8/29/2011 12:00:00 AM","2.00","4/6/2011 12:00:00 AM"
"St Louis","MO","Scanlan","6533","63139","89","","Full","1.00","69","St Louis City","Other","69","Conventional","0","Other","GSTL","85900.00","","Bank","80000.00","4/30/2012 12:00:00 AM","80000.00","Cash, Conventional","Sold","5/2/2012 8:49:04 AM","3.00","1/24/2012 12:00:00 AM"
