"Basement Sq Ft","Yr Built" (TAX|MLS),"Lot Sq Ft","Bldg Sq Ft" (TAX|MLS),
,"Tax: 1938 MLS: 1939","6250.86","968",
,"1928","4351.644","864",
"315","Tax: 1926 MLS: 1927","4351.644","1,077",
,"Tax: 1920 MLS: 1921","5410.152","768",
"144","Tax: 1921 MLS: 1945","5950.296","768",
,"Tax: 1928 MLS: 1929","10123.344","1,000",
,"1940","5201.064","754",
