"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","1915","11051527","Nemnich","St Louis","MO","63136","","30000.00","GSTL","296","296","Private","","0","","","","Ranch","47","5","2","1","0","0","0","720","","Full, Rec/Family Area","0","0","1","Forced Air","Gas","Central-Electric","0","0","Other","Near Public Trans, Satellite Dish","Eat-In Kitchen","Backs to Trees/Woods","0","None","None"
"Active","9611","12007831","Winkler","St Louis","MO","63136","","37500.00","GSTL","195","195","Bank","","","","","","Ranch","53","4","2","1","0","0","0","720","","Full, Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","0","0","Additional Parking, Off Street, Tandem Parking","Near Public Trans","Eat-In Kitchen","","0","None","None"
"Sold","8905","12040141","Scottdale","St Louis","MO","63136","5012.00","6900.00","GSTL","9","95","Bank","Cash","0","","7/17/2012 12:00:00 AM","8/6/2012 12:00:00 AM","Ranch","48","6","2","1","0","0","0","1062","","Partial","0","0","0","Other","Gas","None","0","1","Off Street","","","","0","None","None"
"Sold","2819","11057046","Glade","Jennings","MO","63136","15900.00","15900.00","GSTL","41","41","Bank","Cash","0","","1/17/2012 12:00:00 AM","2/16/2012 12:00:00 AM","Ranch","52","5","2","1","0","0","0","1224","","Full, Partially Finished","0","0","0","Other","Other","Other","2","0","Additional Parking, Detached, Off Street","","","Fencing, Level Lot","0","None","None"
"Sold","9707","12026758","Green Valley","St Louis","MO","63136","11000.00","10900.00","GSTL","87","87","Government","Cash","0","","7/30/2012 12:00:00 AM","7/30/2012 12:00:00 AM","Ranch","62","5","2","1","1","0","0","1325","","Space/Crawl or Other","0","0","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage","","","Fencing","0","None","None"
"Sold","9249","12030628","Ellison","St Louis","MO","63136","12501.00","9900.00","GSTL","9","9","Bank","Cash","0","","6/1/2012 12:00:00 AM","6/26/2012 12:00:00 AM","Ranch","54","6","2","1","0","0","0","1080","","Full","0","0","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage","","","","","",""
