"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","1750","12044771","Clover","Florissant","MO","63031","","79900.00","GSTL","94","94","Private","","","","","","Ranch","55","5","3","1","1","0","0","988","","Partially Finished, Rec/Family Area","0","0","0","Forced Air","Gas","Ceiling Fan, Central-Electric","1","0","Attached Garage, Oversize","Patio","Eat-In Kitchen","Fencing, Level Lot","0","None","None"
"Active","7310","12022910","Berkridge","Hazelwood","MO","63042","","89900.00","GSTL","199","199","Private","","","","","","Ranch","49","6","3","2","0","0","0","1608","","Full, Rec/Family Area","0","0","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage, Garage Door Opener","Burglar Alarm-Leased","Breakfast Bar, Eat-In Kitchen","Corner Lot, Level Lot, Streetlights","1","Woodburning Fireplce","Family Room"
"Sold","8428","11009655","Bridle Spur","Hazelwood","MO","63042","50000.00","59900.00","GSTL","252","429","Private","Conventional","1000","","11/9/2011 12:00:00 AM","12/15/2011 12:00:00 AM","Ranch","45","7","3","2","0","0","0","1424","","Full, Partially Finished, Rec/Family Area","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage, Garage Door Opener","Covered Porch, Patio, Near Public Trans, Smoke Alarm/Detec","Eat-In Kitchen","Level Lot, Partial Fencing, Sidewalks, Streetlights","1","Woodburning Fireplce","Family Room"
"Sold","7226","11052198","Berkridge","Hazelwood","MO","63042","50000.00","34980.00","GSTL","21","21","Bank","FHA","1500","11/9/2011 12:00:00 AM","11/21/2011 12:00:00 AM","2/24/2012 12:00:00 AM","Ranch","52","7","3","2","0","0","0","1316","","None, Partially Finished","0","0","1","Forced Air","Gas","Central-Electric","0","1","Covered","","","","1","None","Living Room"
"Sold","8426","12031793","Lariat","Hazelwood","MO","63042","58000.00","67900.00","GSTL","37","37","Bank","Conventional","1500","","7/6/2012 12:00:00 AM","8/3/2012 12:00:00 AM","Ranch","46","7","3","2","0","0","0","1450","","Full","0","0","0","Other","Other","Other","2","0","Attached Garage","","","","0","Non Functional","None"
