"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","6740","12052218","Vermont","St Louis","MO","63111","","55000.00","GSTL","83","418","Private","","","","","","2 Story","122","7","3","1","0","1","0","1432","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street, Rear/Side Entry","","","Partial Fencing, Sidewalks, Streetlights","0","None","None"
"Active","6739","12014109","Vermont","St Louis","MO","63111","","75000.00","GSTL","263","263","Private","","","","","","2 Story","122","10","4","1","0","1","0","2024","","Stone/Rock","0","0","0","Forced Air, Zoned","Gas","Central-Electric","0","0","Off Street","","","Level Lot, Partial Fencing, Sidewalks, Streetlights","0","None","None"
"Sold","510","11057591","Holly Hills","St Louis","MO","63111","18500.00","22000.00","GSTL","53","53","Bank","Cash","0","","2/3/2012 12:00:00 AM","2/17/2012 12:00:00 AM","2 Story","121","6","2","0","0","1","0","1304","","Partial, Stone/Rock","0","0","0","Forced Air","Gas","Other","0","0","Other","","","Corner Lot, Level Lot, Streetlights","0","None","None"
"Sold","6600","12004728","Pennsylvania","St Louis","MO","63111","22000.00","24900.00","GSTL","39","133","Bank","Cash","0","","3/2/2012 12:00:00 AM","3/15/2012 12:00:00 AM","2 Story","109","8","4","0","1","1","0","2450","","Full","0","0","0","Forced Air","Gas","None","0","0","Other","","","","0","None","None"
"Sold","7519","11055819","Virginia","St Louis","MO","63111","25100.00","22900.00","GSTL","25","25","Bank","Cash","0","","12/23/2011 12:00:00 AM","1/15/2012 12:00:00 AM","2 Story","110","6","3","1","1","0","0","1624","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","","","","0","None","None"
"Sold","6414","11058923","Virginia","St Louis","MO","63111","26500.00","37800.00","GSTL","56","56","Bank","Cash","0","","2/27/2012 12:00:00 AM","3/23/2012 12:00:00 AM","2 Story","102","6","3","0","0","1","0","1272","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street","Covered Porch","","Fencing","0","None","None"
"Sold","8224","12047093","Virginia","St Louis","MO","63111","28900.00","28900.00","GSTL","16","16","Government","Cash","0","","8/30/2012 12:00:00 AM","9/25/2012 12:00:00 AM","2 Story","95","6","2","0","0","2","0","2040","","Full","0","0","0","Forced Air","Gas","Central-Electric","2","0","Detached","","","","","",""
