"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","10513","12038163","Baron","St Louis","MO","63136","","25000.00","GSTL","137","137","Private","","","","","","Ranch","53","45","3","1","1","0","0","888","","Full, Partially Finished, Walk-Out","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street, Other","","","Fencing","0","None","None"
"Active","10252","12035652","Pannell","St Louis","MO","63136","","29900.00","GSTL","140","182","Private","","","","","","Ranch","54","7","3","2","0","0","0","1205","","Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","1","0","Additional Parking, Attached Garage","","","","","",""
"Sold","10518","12043618","EDGEFIELD","St Louis","MO","63136","17000.00","17000.00","GSTL","60","60","Government","Cash","0","8/20/2012 12:00:00 AM","8/24/2012 12:00:00 AM","9/19/2012 12:00:00 AM","Ranch","56","5","3","1","1","0","0","1073","","Full, Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage","Covered Porch, Patio","","Level Lot, Partial Fencing","0","None","None"
"Sold","10524","11052307","Edgefield","St Louis","MO","63136","18000.00","18900.00","GSTL","74","74","Government","Cash","0","","1/25/2012 12:00:00 AM","2/8/2012 12:00:00 AM","Ranch","55","6","3","1","1","0","0","1073","","Full, Partially Finished","0","0","0","Other","Other","Other","1","0","Attached Garage","","Eat-In Kitchen","Fencing, Level Lot","1","Non Functional","Basement"
"Sold","10310","12024464","Viscount","St Louis","MO","63136","18000.00","24900.00","GSTL","42","42","Owner by Contract","Cash","0","5/21/2012 12:00:00 AM","6/1/2012 12:00:00 AM","6/4/2012 12:00:00 AM","Ranch","58","6","3","1","1","0","0","1140","","Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","0","1","Off Street","Covered Porch, Near Public Trans","Center Island","Fencing","0","None","None"
"Sold","10536","12038178","Lord","St Louis","MO","63136","18500.00","19900.00","GSTL","127","127","Private","Cash","0","","10/29/2012 12:00:00 AM","10/30/2012 12:00:00 AM","Ranch","55","5","3","1","1","0","0","888","","Full","0","0","0","Forced Air","Gas","Central-Electric","0","0","Off Street, Other","","","Fencing","0","None","None"
