"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","821","12038686","Edgar","St Louis","MO","63119","","109000.00","GSTL","107","107","Private","","","","","","Bungalow / Cottage","62","6","2","1","0","0","0","792","","Full, Poured Concrete, Unfinished","0","0","0","Forced Air","Gas","Attic Fan, Central-Electric","1","0","Detached, Garage Door Opener, Off Street, Workshp/Storage Area","","","Chain Link Fence","","",""
"Active","720","12051167","Swon","St Louis","MO","63119","","131900.00","GSTL","88","88","Private","","","","","","Ranch","59","5","2","1","0","0","0","945","","8 ft + pour, Full, Partially Finished, Poured Concrete, Rec/Family Area, Sump Pit/Pump","0","1","0","Forced Air","Gas","Ceiling Fan, Central-Electric","1","0","Garage Door Opener","Home Protection Plcy, Patio, Near Public Trans, Smoke Alarm/Detec","Eat-In Kitchen, Pantry","Level Lot, Streetlights","1","Woodburning Fireplce","Basement"
"Active","720","12059521","Jackson","St Louis","MO","63119","","135000.00","GSTL","43","43","Private","","","","","","Ranch","62","6","2","1","0","0","0","","","Concrete Block, Full, Sump Pit/Pump","0","0","0","Forced Air","Gas","Central-Electric","1","0","Additional Parking, Detached, Off Street","Home Protection Plcy, Near Public Trans, Patio, Smoke Alarm/Detec, Utility Shed","Custom Cabinetry","Fencing, Level Lot, Streetlights, Wooded","1","Woodburning Fireplce","Living Room"
"Sold","415","12003363","Laclede Station","St Louis","MO","63119","79000.00","82000.00","GSTL","131","131","Government","FHA","0","4/12/2012 12:00:00 AM","5/29/2012 12:00:00 AM","5/29/2012 12:00:00 AM","Bungalow / Cottage","70","6","2","1","0","0","0","918","","Full, Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","1","0","Additional Parking, Detached, Off Street","","Breakfast Room","","0","None","None"
"Sold","1023","12012743","Elm","St Louis","MO","63119","92000.00","84900.00","GSTL","63","63","Bank","Conventional","0","","7/19/2012 12:00:00 AM","8/31/2012 12:00:00 AM","Bungalow / Cottage","77","6","2","1","0","0","0","1131","","","0","0","0","Forced Air","Gas","Central-Electric","2","0","Detached","","","","2","Woodburning Fireplce","Basement, Living Room"
"Sold","1349","12024191","Pinetree","St Louis","MO","63119","99000.00","110000.00","GSTL","140","140","Private","Other","0","8/31/2012 12:00:00 AM","8/31/2012 12:00:00 AM","10/5/2012 12:00:00 AM","Ranch","60","5","2","1","0","0","0","890","","Bathroom in LL, Full","0","1","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage","","Pantry","Corner Lot, Level Lot","0","None","None"
"Sold","1319","12004535","Pinetree","St Louis","MO","63119","105000.00","117000.00","GSTL","81","81","Bank","Cash","0","","4/16/2012 12:00:00 AM","5/23/2012 12:00:00 AM","Ranch","62","6","2","1","0","0","0","1088","","Partially Finished","0","1","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage","","","","0","None","None"
