"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"Webster Groves","MO","College","123","63119","71","0","Full, Walk-Out","2.00","125","St Louis","Central-Electric","34","Conventional","1","Gas","GSTL","148500.00","","Private","146500.00","8/31/2011 12:00:00 AM","146500.00","Cash, Conventional","Sold","8/31/2011 12:00:00 AM","2.00","7/7/2011 12:00:00 AM"
"Webster Groves","MO","Elm","103","63119","55","0","Full, Poured Concrete, Rec/Family Area, Sump Pit/Pump","2.00","19","St Louis","Ceiling Fan, Central-Electric","19","Conventional","0","Gas","GSTL","149000.00","","Private","147000.00","9/28/2011 12:00:00 AM","147000.00","Cash, Conventional","Sold","9/29/2011 12:00:00 AM","2.00","8/7/2011 12:00:00 AM"
"Webster Groves","MO","SIMMONS","338","63119","61","","None","3.00","32","St Louis","Central-Electric","32","Conventional","0","Other","GSTL","167500.00","","Bank","157500.00","6/19/2012 12:00:00 AM","157500.00","Cash, Conventional","Sold","6/20/2012 1:56:21 PM","3.00","4/12/2012 12:00:00 AM"
"Webster Groves","MO","Summit","533","63119","63","0","Full, Poured Concrete, Roughed-In Fireplace","1.00","109","St Louis","Ceiling Fan, Central-Electric","109","Cash","1","Gas","GSTL","159900.00","","Private","158000.00","9/30/2011 12:00:00 AM","158000.00","Cash, Conventional, FHA, VA","Sold","10/6/2011 12:00:00 AM","2.00","4/21/2011 12:00:00 AM"
"Webster Groves","MO","Frisco","113","63119","86","0","Concrete Block, Poured Concrete","2.00","65","St Louis","Ceiling Fan, Central-Electric, Zoned","65","Other","0","Gas","GSTL","169900.00","","Private","160000.00","7/14/2011 12:00:00 AM","160000.00","Cash, Conventional, FHA","Sold","7/18/2011 12:00:00 AM","3.00","4/24/2011 12:00:00 AM"
"Webster Groves","MO","Lockwood","513","63119","124","0","Full","2.00","189","St Louis","Central-Electric","189","Cash","0","Gas","GSTL","184900.00","","Private","160000.00","1/9/2012 12:00:00 AM","160000.00","Cash, Conventional","Sold","1/19/2012 9:55:49 PM","3.00","7/12/2011 12:00:00 AM"
"Webster Groves","MO","Fairview","648","63119","62","0","Bathroom in LL, Partially Finished, Rec/Family Area, Sump Pit/Pump","3.00","180","St Louis","Central-Electric","180","Conventional","1","Gas","GSTL","164800.00","","Private","162000.00","2/28/2012 12:00:00 AM","162000.00","Cash, Conventional, FHA, VA","Sold","2/29/2012 9:39:20 AM","3.00","8/3/2011 12:00:00 AM"
"Webster Groves","MO","Alma","428","63119","91","0","Partial, Poured Concrete","2.00","334","St Louis","Ceiling Fan, Central-Electric","334","Conventional","2","Gas","GSTL","169900.00","","Private","162700.00","7/25/2011 12:00:00 AM","162700.00","Cash, Conventional, FHA, VA","Sold","8/2/2011 12:00:00 AM","3.00","6/25/2010 12:00:00 AM"
"Webster Groves","MO","Tuxedo","421","63119","59","0","Bathroom in LL, Full, Partially Finished, Poured Concrete, Rec/Family Area, Walk-Out","2.00","33","St Louis","Ceiling Fan, Central-Electric","33","Conventional","0","Gas","GSTL","170000.00","","Private","165000.00","7/15/2011 12:00:00 AM","165000.00","Cash, Conventional, FHA, VA","Sold","7/15/2011 12:00:00 AM","2.00","5/19/2011 12:00:00 AM"
"Webster Groves","MO","Providence","879","63119","86","0","Full, Sump Pit/Pump","2.00","314","St Louis","Ceiling Fan, Central-Electric","50","Conventional","0","Gas","GSTL","173000.00","","Private","166500.00","4/20/2012 12:00:00 AM","166500.00","Cash, Conventional, FHA","Sold","4/23/2012 9:24:10 AM","2.00","1/1/2012 12:00:00 AM"
"Webster Groves","MO","Summit","50","63119","84","0","Full","2.00","50","St Louis","3 Plus Window/Wall","50","Conventional","2","Gas","GSTL","185000.00","","Private","172500.00","7/19/2011 12:00:00 AM","172500.00","Cash, Conventional","Sold","7/22/2011 12:00:00 AM","3.00","5/11/2011 12:00:00 AM"
"Webster Groves","MO","Clark","404","63119","107","0","Full, Sump Pit/Pump","2.00","262","St Louis","Central-Electric","262","FHA","0","Gas","GSTL","189000.00","","Private","173000.00","6/21/2012 12:00:00 AM","173000.00","Cash, Conventional, FHA, Seller May Pay SmCls, VA","Sold","6/26/2012 3:54:14 PM","3.00","7/26/2011 12:00:00 AM"
"Webster Groves","MO","Park","743","63119","10","0","8 ft + pour, Sump Pit/Pump, Walk-Out","3.00","155","St Louis","Ceiling Fan, Central-Electric","155","Cash","2","Gas","GSTL","175000.00","","Private","175000.00","9/28/2011 12:00:00 AM","175000.00","Cash, Conventional","Sold","9/28/2011 12:00:00 AM","3.00","4/11/2011 12:00:00 AM"
"Webster Groves","MO","Atalanta","748","63119","83","0","Rec/Family Area, Walk-Out","2.00","64","St Louis","Ceiling Fan, Central-Electric","64","FHA","1","Gas","GSTL","179900.00","","Private","175000.00","8/24/2011 12:00:00 AM","175000.00","Conventional, FHA, VA","Sold","8/24/2011 12:00:00 AM","2.00","5/12/2011 12:00:00 AM"
"Webster Groves","MO","Algonquin Place","478","63119","56","0","None","2.00","139","St Louis","Central-Electric","139","Cash","2","Gas","GSTL","195000.00","","Private","180000.00","3/30/2012 12:00:00 AM","180000.00","Cash, Conventional, FHA","Sold","4/2/2012 11:12:43 AM","2.00","10/11/2011 12:00:00 AM"
"Webster Groves","MO","Providence","815","63119","91","","Full, Poured Concrete, Rec/Family Area, Sump Pit/Pump, Walk-Out","2.00","168","St Louis","Ceiling Fan, Central-Electric","34","Conventional","0","Gas","GSTL","196500.00","","Private","185000.00","4/3/2012 12:00:00 AM","185000.00","Cash, Conventional, FHA, VA","Sold","4/4/2012 3:29:32 PM","3.00","2/2/2012 12:00:00 AM"
"Webster Groves","MO","Marshall","654","63119","99","0","8 ft + pour, Full, Walk-Out","2.00","226","St Louis","Ceiling Fan, Central-Electric","226","Conventional","0","Gas","GSTL","189900.00","","Private","186000.00","6/28/2012 12:00:00 AM","186000.00","Cash, Conventional, FHA, VA","Sold","6/29/2012 11:21:15 AM","3.00","10/10/2011 12:00:00 AM"
"Webster Groves","MO","Euclid","134","63119","6","0","Full, Partially Finished, Rec/Family Area, Sump Pit/Pump, Walk-Out","3.00","77","St Louis","Ceiling Fan, Central-Electric","77","Other","1","Gas","GSTL","189900.00","","Private","187500.00","3/22/2012 12:00:00 AM","187500.00","Cash, Conventional, Government","Sold","3/22/2012 3:37:48 PM","3.00","11/17/2011 12:00:00 AM"
"Webster Groves","MO","Old Orchard","502","63119","61","0","Partially Finished, Rec/Family Area, Sleeping Area","2.00","45","St Louis","Ceiling Fan, Central-Electric","45","Conventional","1","Gas","GSTL","199000.00","","Private","190000.00","3/29/2012 12:00:00 AM","190000.00","Cash, Conventional, FHA, VA","Sold","4/3/2012 10:29:51 AM","2.00","1/17/2012 12:00:00 AM"
"Webster Groves","MO","Clark","665","63119","104","0","Concrete Block, Full, Walk-Out","2.00","293","St Louis","Ceiling Fan, Central-Electric, Zoned","258","FHA","0","Gas","GSTL","204900.00","","Private","192500.00","5/16/2012 12:00:00 AM","192500.00","Cash, Conventional, Other","Sold","5/18/2012 11:26:36 AM","3.00","8/4/2011 12:00:00 AM"
"Webster Groves","MO","Oakwood","642","63119","93","0","Full, Stone/Rock","2.00","52","St Louis","2 Window/Wall","52","Conventional","0","Gas","GSTL","195500.00","","Private","195000.00","11/17/2011 12:00:00 AM","195000.00","Cash, Conventional","Sold","11/18/2011 12:00:00 AM","4.00","9/26/2011 12:00:00 AM"
"Webster Groves","MO","Crofton","446","63119","72","0","None","3.00","354","St Louis","Attic Fan, Ceiling Fan, Central-Electric","354","Conventional","2","Gas","GSTL","199900.00","","Private","195525.00","6/27/2012 12:00:00 AM","195525.00","Cash, Conventional, FHA, RRM/ARM, VA","Sold","6/29/2012 11:11:40 PM","4.00","6/13/2011 12:00:00 AM"
"Webster Groves","MO","Summit","39","63119","75","0","Full, Walk-Out","2.00","203","St Louis","Central-Electric","196","Conventional","3","Gas","GSTL","209000.00","","Private","200000.00","9/16/2011 12:00:00 AM","200000.00","Cash, Conventional, FHA, Lease Purchase","Sold","9/19/2011 12:00:00 AM","3.00","2/25/2011 12:00:00 AM"
"Webster Groves","MO","Big Bend","8548","63119","62","","Full, Partially Finished, Rec/Family Area, Walk-Out","2.00","68","St Louis","Ceiling Fan, Central-Electric","68","FHA","2","Gas","GSTL","206000.00","","Private","203000.00","5/4/2012 12:00:00 AM","203000.00","Cash, Conventional","Sold","5/4/2012 7:17:05 PM","2.00","1/26/2012 12:00:00 AM"
"Webster Groves","MO","Ivanhoe","501","63119","106","0","Full, Poured Concrete, Walk-Out","2.00","150","St Louis","Central-Electric","150","Conventional","0","Gas","GSTL","209900.00","","Private","205000.00","3/13/2012 12:00:00 AM","205000.00","Cash, Conventional","Sold","3/14/2012 2:51:19 PM","3.00","9/2/2011 12:00:00 AM"
