"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","11407","12056697","Criterion","St Louis","MO","63138","","79900.00","GSTL","41","41","Private","","","","","","Ranch","50","6","3","2","0","0","0","1450","","Full","0","0","0","Forced Air","Gas","Central-Electric","2","0","Garage Door Opener, Oversize, Rear/Side Entry","","Eat-In Kitchen, Pantry","Corner Lot, Fencing, Level Lot","0","None","None"
"Active","11310","12057143","Cadigan","St Louis","MO","63138","","79900.00","GSTL","39","39","Private","","","","","","Ranch","46","6","3","2","0","0","0","1338","","Bathroom in LL, Full, Partially Finished, Poured Concrete","0","1","0","Forced Air","Gas","Ceiling Fan, Central-Electric","2","0","Attached Garage, Garage Door Opener","Covered Porch, Home Protection Plcy, Near Public Trans, Patio, Smoke Alarm/Detec, Utility Shed","Pantry","Fencing, Level Lot, Streetlights","0","None","None"
"Sold","34","10067268","Trampe Hills","St Louis","MO","63138","60000.00","60000.00","GSTL","12","12","Government","Cash","0","","1/25/2011 12:00:00 AM","12/22/2011 12:00:00 AM","Ranch","16","7","3","2","0","0","0","1280","","Full","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage","","","","0","None","None"
"Sold","1917","12002790"," Cathedral Hill ","St Louis","MO","63138","79500.00","80000.00","GSTL","16","16","Government","Cash","0","","2/2/2012 12:00:00 AM","2/28/2012 12:00:00 AM","Ranch","35","6","3","2","0","0","0","1406","","Full, Partially Finished","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage","","","Fencing","1","Woodburning Fireplce","Family Room"
"Sold","1441","11029321","Crossett","St Louis","MO","63138","89000.00","89000.00","GSTL","430","430","Private","FHA","2048","","8/13/2012 12:00:00 AM","9/25/2012 12:00:00 AM","Ranch","51","8","3","2","0","0","0","1641","","Full, Partially Finished, Rec/Family Area","0","1","0","Baseboard, Forced Air","Gas","Attic Fan, Ceiling Fan, Central-Electric, Power Roof Vents","2","0","Attached Garage, Oversize, Workshp/Storage Area","High Spd Connection, Home Protection Plcy, Smoke Alarm/Detec","Eat-In Kitchen, Pantry","Level Lot, Streetlights","0","None","None"
"Sold","63","11052157","Trampe Hill","St Louis","MO","63138","99900.00","99900.00","GSTL","140","140","Private","FHA","0","","3/15/2012 12:00:00 AM","4/27/2012 12:00:00 AM","Ranch","22","5","3","2","0","0","0","1178","","Bathroom in LL, Partially Finished, Rec/Family Area","0","1","0","Forced Air","Gas","Central-Electric","2","0","Additional Parking, Attached Garage","","","Level Lot","0","None","None"
