"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","4566","12050395","Newberry","St Louis","MO","63113","","69900.00","GSTL","90","90","Private","","","","","","2 Story","16","6","3","0","1","1","0","1440","","Full","0","0","0","Forced Air","Gas","Central-Electric","1","0","Additional Parking, Attached Garage, Garage Door Opener, Off Street, Rear/Side Entry","Home Protection Plcy, Near Public Trans","Custom Cabinetry, Pantry, SolidSurfaceCounter","Partial Fencing, Sidewalks, Streetlights","0","None","None"
"Active","4206","12049535","Delmar","St Louis","MO","63108","","99900.00","GSTL","79","79","Private","","","","","","2 Story","10","8","3","0","0","2","0","1470","","8 ft + pour, Unfinished","0","0","1","Forced Air 90+","Gas","Central-Electric","2","0","Attached Garage","","","Corner Lot","","",""
"Sold","1466","12032597","Clara","St Louis","MO","63112","53000.00","51000.00","GSTL","38","38","Government","FHA","0","6/20/2012 12:00:00 AM","7/9/2012 12:00:00 AM","9/19/2012 12:00:00 AM","2 Story","4","6","3","0","1","2","0","1650","","Full","0","0","0","Forced Air","Gas","Central-Electric","2","0","Detached","","","Level Lot","0","None","None"
"Sold","4206","12019727","Delmar","St Louis","MO","63108","56000.00","45000.00","GSTL","14","14","Bank","Cash","0","","4/17/2012 12:00:00 AM","6/29/2012 12:00:00 AM","2 Story","10","6","3","0","1","2","0","1470","","Full","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage, Rear/Side Entry","Deck","","Corner Lot","0","None","None"
"Sold","5580","12050546","Vernon","St Louis","MO","63112","57000.00","57000.00","GSTL","22","22","Government","FHA","1710","","9/20/2012 12:00:00 AM","11/15/2012 12:00:00 AM","2 Story","8","6","3","0","0","1","1","","","Full","0","0","0","Forced Air","Electric","Central-Electric","2","0","Detached","","","","1","Gas","Family Room"
"Sold","4222","12019985","Delmar Blvd","St Louis","MO","63108","73000.00","75800.00","GSTL","26","26","Bank","Cash","0","","5/14/2012 12:00:00 AM","5/29/2012 12:00:00 AM","2 Story","5","6","3","2","1","0","0","","","Full","0","0","0","Forced Air","Gas","Central-Electric","2","0","Attached Garage, Rear/Side Entry","Covered Porch, Deck","","Fencing, Level Lot","1","Non Functional","Living Room"
