"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"University City","MO","Blackberry","7800","63130","65","0","Bathroom in LL, Full, Partially Finished, Partial, Rec/Family Area, Walk-Out","3.00","320","St Louis","Central-Electric","118","Conventional","2","Gas","GSTL","289000.00","","Private","275000.00","2/23/2012 12:00:00 AM","275000.00","Cash, Conventional, Private, RRM/ARM, VA","Sold","2/24/2012 3:24:56 PM","4.00","9/27/2011 12:00:00 AM"
"University City","MO","Cornell ","7561","63130","88","","Full, Partially Finished, Walk-Out","3.00","17","St Louis","1 Window/Wall, Central-Electric, Zoned","17","Snd Available","1","Gas","GSTL","299000.00","","Private","279000.00","3/16/2012 12:00:00 AM","279000.00","Cash, Conventional, FHA","Sold","3/23/2012 9:43:28 AM","3.00","1/12/2012 12:00:00 AM"
"University City","MO","Cornell","7250","63130","59","150","Full, Poured Concrete","2.00","21","St Louis","Attic Fan, Ceiling Fan, Central-Electric","21","Conventional","1","Gas","GSTL","289900.00","","Private","279000.00","5/1/2012 12:00:00 AM","279000.00","Lease, Lease Option, Lease Purchase, Rent","Sold","5/1/2012 2:49:05 PM","4.00","2/29/2012 12:00:00 AM"
"University City","MO","Stanford","7567","63130","87","0","Bathroom in LL, Full, Rec/Family Area, Sleeping Area, Walk-Out","3.00","110","St Louis","Central-Electric","110","Conventional","1","Gas","GSTL","279900.00","","Private","279900.00","8/12/2011 12:00:00 AM","279900.00","Cash, Conventional, FHA","Sold","8/15/2011 12:00:00 AM","4.00","4/4/2011 12:00:00 AM"
"University City","MO","Trinity","724","63130","90","223","Walk-Out","2.00","231","St Louis","Ceiling Fan, Central-Electric, Zoned","231","Conventional","0","Gas","GSTL","297000.00","","Private","280000.00","3/7/2012 12:00:00 AM","280000.00","Cash, Conventional","Sold","4/4/2012 11:38:12 AM","3.00","5/3/2011 12:00:00 AM"
"University City","MO","Stanford","7102","63130","75","50","Bathroom in LL, Fireplace in LL, Full, Partially Finished, Rec/Family Area, Walk-Out","3.00","100","St Louis","Central-Electric","100","Conventional","2","Gas","GSTL","299000.00","","Private","281000.00","9/26/2011 12:00:00 AM","281000.00","Cash, Conventional, FHA, VA","Sold","10/18/2011 12:00:00 AM","4.00","4/30/2011 12:00:00 AM"
"University City","MO","Cornell","7046","63130","91","275","Full, Stone/Rock","2.00","7","St Louis","Ceiling Fan, Central-Electric, Zoned","7","Cash","0","Gas","GSTL","299900.00","","Private","285000.00","11/29/2011 12:00:00 AM","285000.00","Cash, Conventional, FHA, VA","Sold","11/30/2011 12:00:00 AM","3.00","10/14/2011 12:00:00 AM"
"University City","MO","Stanford","7117","63130","88","162","Full, Stone/Rock, Walk-Out","3.00","52","St Louis","Ceiling Fan, Central-Electric","52","Conventional","2","Gas","GSTL","309750.00","","Private","290000.00","8/12/2011 12:00:00 AM","290000.00","Cash, Conventional","Sold","8/16/2011 12:00:00 AM","4.00","5/13/2011 12:00:00 AM"
"University City","MO","Stanford","7051","63130","71","250","Bathroom in LL, Fireplace in LL, Full, Partially Finished, Rec/Family Area, Sump Pit/Pump, Storage/Locker","2.00","292","St Louis","Ceiling Fan, Central-Electric","151","Conventional","2","Gas","GSTL","294999.00","","Private","290000.00","11/16/2011 12:00:00 AM","290000.00","Cash, Conventional","Sold","11/16/2011 12:00:00 AM","3.00","6/10/2011 12:00:00 AM"
"University City","MO","Old Bonhomme","801","63132","80","0","Full, Roughed-In Bath, Sump Pit/Pump","3.00","153","St Louis","Ceiling Fan, Central-Electric","153","Cash","2","Gas","GSTL","299000.00","","Private","290000.00","3/12/2012 12:00:00 AM","290000.00","Cash, Conventional","Sold","3/13/2012 1:41:00 PM","3.00","9/16/2011 12:00:00 AM"
